item_code,item_name,base_uom,track_lots,track_serial_numbers,is_active
Safety Harness,Safety Harness,Nos,f,f,t
Safety Overall,Safety Overall,Nos,f,f,t
Samsung 32GB Ram PC4,Samsung 32GB Ram PC4,Nos,f,f,t
Saw blade,Saw blade,Nos,f,f,t
SC-APC Pigtail,SC-APC Pigtail,Nos,f,f,t
Scewiling Machine,Scewiling Machine,Nos,f,f,t
Scissors,Scissors,Nos,f,f,t
Screw Driver,Screw Driver,Nos,f,f,t
Screwdriver Set,Screwdriver Set,Nos,f,f,t
Screws,Screws,Nos,f,f,t
SC-SC Pigtail,SC-SC Pigtail,Nos,f,f,t
Sectional Cable,Sectional Cable,Nos,f,f,t
Service board H803 GPFD,Service board H803 GPFD,Nos,f,f,t
Service Charge,Service Charge,Year,f,f,t
SFP-10G-BX40-40KM,SFP-10G-BX40-40KM,Nos,f,f,t
SFP- 10G-LR,SFP- 10G-LR,Nos,f,f,t
SFP-10G SMDF-20KM,SFP-10G SMDF-20KM,Nos,f,f,t
SFP-10G SMDF-40KM,SFP-10G SMDF-40KM,Nos,f,f,t
SFP-10G SMSF-40KM,SFP-10G SMSF-40KM,Nos,f,f,t
SFP-10G SMSF-60KM,SFP-10G SMSF-60KM,Nos,f,f,t
SFP-1.25G SM 40KM,SFP-1.25G SM 40KM,Nos,f,f,t
SFP - 1.25G SM 80KM,SFP - 1.25G SM 80KM,Nos,f,f,t
SFP+ BIDI 10G,SFP+ BIDI 10G,Nos,f,f,t
SFP - Cisco GLC-LH-SMD,SFP - Cisco GLC-LH-SMD,Nos,f,f,t
SFP - Fortinet Trans-SX,SFP - Fortinet Trans-SX,Nos,f,f,t
SFP - GPON UF-GP-B+,SFP - GPON UF-GP-B+,Nos,f,f,t
